agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	number3	completed
De werkgever wenst dat de man bij de fiets de persoon onderzoekt	De werkgever wenst dat de man bij de fiets de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever wenst dat de man bij de fiets de persoon onderzoekt.
De werkgever wil dat de jongen op het bureau de persoon stimuleert	De werkgever wil dat de jongen op het bureau de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De werkgever wil dat de jongen op het bureau de persoon stimuleert.
De persoon wenst dat de jongen naast het raam de persoon onderzoekt	De persoon wenst dat de jongen naast het raam de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De persoon wenst dat de jongen naast het raam de persoon onderzoekt.
De werkgever wil dat de inwoner bij de stoel de persoon verleidt	De werkgever wil dat de inwoner bij de stoel de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De werkgever wil dat de inwoner bij de stoel de persoon verleidt.
De automobilist denkt dat de boer naast de boom de persoon verleidt	De automobilist denkt dat de boer naast de boom de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De automobilist denkt dat de boer naast de boom de persoon verleidt.
De automobilist wil dat de jongen achter de stoel de persoon onderzoekt	De automobilist wil dat de jongen achter de stoel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist wil dat de jongen achter de stoel de persoon onderzoekt.
De werkgever gelooft dat de man bij het raam de persoon kent	De werkgever gelooft dat de man bij het raam de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever gelooft dat de man bij het raam de persoon kent.
De directeur ziet dat de boer naast het raam de persoon bekritiseert	De directeur ziet dat de boer naast het raam de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur ziet dat de boer naast het raam de persoon bekritiseert.
De werkgever ziet dat de boer op de boom de persoon steunt	De werkgever ziet dat de boer op de boom de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De werkgever ziet dat de boer op de boom de persoon steunt.
De directeur wil dat de inwoner op de vrachtwagen de persoon bekritiseert	De directeur wil dat de inwoner op de vrachtwagen de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur wil dat de inwoner op de vrachtwagen de persoon bekritiseert.
De automobilist wil dat de inwoner bij de stoel de persoon kent	De automobilist wil dat de inwoner bij de stoel de persoon kennen	kent	kennen	5	11	singular	singular	singular	De automobilist wil dat de inwoner bij de stoel de persoon kent.
De persoon gelooft dat de schrijver op de tafel de persoon roept	De persoon gelooft dat de schrijver op de tafel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon gelooft dat de schrijver op de tafel de persoon roept.
De werkgever gelooft dat de advocaat achter de fiets de persoon stimuleert	De werkgever gelooft dat de advocaat achter de fiets de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De werkgever gelooft dat de advocaat achter de fiets de persoon stimuleert.
De persoon denkt dat de inwoner op de stoel de persoon roept	De persoon denkt dat de inwoner op de stoel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon denkt dat de inwoner op de stoel de persoon roept.
De automobilist gelooft dat de advocaat bij de tafel de persoon steunt	De automobilist gelooft dat de advocaat bij de tafel de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist gelooft dat de advocaat bij de tafel de persoon steunt.
De persoon wenst dat de boer achter de boom de persoon stimuleert	De persoon wenst dat de boer achter de boom de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon wenst dat de boer achter de boom de persoon stimuleert.
De werkgever denkt dat de jongen op de boom de persoon roept	De werkgever denkt dat de jongen op de boom de persoon roepen	roept	roepen	5	11	singular	singular	singular	De werkgever denkt dat de jongen op de boom de persoon roept.
De werkgever ziet dat de jongen naast het bureau de persoon onderzoekt	De werkgever ziet dat de jongen naast het bureau de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever ziet dat de jongen naast het bureau de persoon onderzoekt.
De werkgever denkt dat de inwoner achter de boom de persoon steunt	De werkgever denkt dat de inwoner achter de boom de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De werkgever denkt dat de inwoner achter de boom de persoon steunt.
De werkgever ziet dat de jongen achter de fiets de persoon verleidt	De werkgever ziet dat de jongen achter de fiets de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De werkgever ziet dat de jongen achter de fiets de persoon verleidt.
De directeur wenst dat de inwoner achter de tafel de persoon onderzoekt	De directeur wenst dat de inwoner achter de tafel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De directeur wenst dat de inwoner achter de tafel de persoon onderzoekt.
De directeur gelooft dat de advocaat achter de boom de persoon hoort	De directeur gelooft dat de advocaat achter de boom de persoon horen	hoort	horen	5	11	singular	singular	singular	De directeur gelooft dat de advocaat achter de boom de persoon hoort.
De persoon gelooft dat de winnaar bij het bureau de persoon hoort	De persoon gelooft dat de winnaar bij het bureau de persoon horen	hoort	horen	5	11	singular	singular	singular	De persoon gelooft dat de winnaar bij het bureau de persoon hoort.
De automobilist gelooft dat de advocaat achter de vrachtwagen de persoon steunt	De automobilist gelooft dat de advocaat achter de vrachtwagen de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist gelooft dat de advocaat achter de vrachtwagen de persoon steunt.
De directeur denkt dat de inwoner bij de fiets de persoon verleidt	De directeur denkt dat de inwoner bij de fiets de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De directeur denkt dat de inwoner bij de fiets de persoon verleidt.
De directeur wenst dat de inwoner bij de tafel de persoon onderzoekt	De directeur wenst dat de inwoner bij de tafel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De directeur wenst dat de inwoner bij de tafel de persoon onderzoekt.
De werkgever ziet dat de man bij het bureau de persoon hoort	De werkgever ziet dat de man bij het bureau de persoon horen	hoort	horen	5	11	singular	singular	singular	De werkgever ziet dat de man bij het bureau de persoon hoort.
De directeur gelooft dat de inwoner bij de stoel de persoon verleidt	De directeur gelooft dat de inwoner bij de stoel de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De directeur gelooft dat de inwoner bij de stoel de persoon verleidt.
De directeur gelooft dat de jongen achter de stoel de persoon stimuleert	De directeur gelooft dat de jongen achter de stoel de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De directeur gelooft dat de jongen achter de stoel de persoon stimuleert.
De directeur ziet dat de schrijver achter de fiets de persoon steunt	De directeur ziet dat de schrijver achter de fiets de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De directeur ziet dat de schrijver achter de fiets de persoon steunt.
De persoon denkt dat de schrijver achter het raam de persoon steunt	De persoon denkt dat de schrijver achter het raam de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De persoon denkt dat de schrijver achter het raam de persoon steunt.
De directeur denkt dat de man bij de vrachtwagen de persoon steunt	De directeur denkt dat de man bij de vrachtwagen de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De directeur denkt dat de man bij de vrachtwagen de persoon steunt.
De persoon wil dat de inwoner naast het bureau de persoon kent	De persoon wil dat de inwoner naast het bureau de persoon kennen	kent	kennen	5	11	singular	singular	singular	De persoon wil dat de inwoner naast het bureau de persoon kent.
De persoon wil dat de winnaar op de fiets de persoon stimuleert	De persoon wil dat de winnaar op de fiets de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon wil dat de winnaar op de fiets de persoon stimuleert.
De persoon ziet dat de boer bij het raam de persoon roept	De persoon ziet dat de boer bij het raam de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon ziet dat de boer bij het raam de persoon roept.
De directeur wenst dat de jongen achter de fiets de persoon hoort	De directeur wenst dat de jongen achter de fiets de persoon horen	hoort	horen	5	11	singular	singular	singular	De directeur wenst dat de jongen achter de fiets de persoon hoort.
De persoon wil dat de boer naast de stoel de persoon bekritiseert	De persoon wil dat de boer naast de stoel de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De persoon wil dat de boer naast de stoel de persoon bekritiseert.
De automobilist wil dat de meid achter de boom de persoon bekritiseert	De automobilist wil dat de meid achter de boom de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De automobilist wil dat de meid achter de boom de persoon bekritiseert.
De persoon wil dat de meid achter de boom de persoon bekritiseert	De persoon wil dat de meid achter de boom de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De persoon wil dat de meid achter de boom de persoon bekritiseert.
De werkgever denkt dat de advocaat bij de tafel de persoon roept	De werkgever denkt dat de advocaat bij de tafel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De werkgever denkt dat de advocaat bij de tafel de persoon roept.
De automobilist denkt dat de meid op de tafel de persoon verleidt	De automobilist denkt dat de meid op de tafel de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De automobilist denkt dat de meid op de tafel de persoon verleidt.
De automobilist wil dat de boer op de boom de persoon steunt	De automobilist wil dat de boer op de boom de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist wil dat de boer op de boom de persoon steunt.
De persoon wil dat de boer achter de fiets de persoon roept	De persoon wil dat de boer achter de fiets de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon wil dat de boer achter de fiets de persoon roept.
De automobilist gelooft dat de boer achter de tafel de persoon hoort	De automobilist gelooft dat de boer achter de tafel de persoon horen	hoort	horen	5	11	singular	singular	singular	De automobilist gelooft dat de boer achter de tafel de persoon hoort.
De werkgever wil dat de boer op het raam de persoon verleidt	De werkgever wil dat de boer op het raam de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De werkgever wil dat de boer op het raam de persoon verleidt.
De persoon gelooft dat de winnaar naast het bureau de persoon kent	De persoon gelooft dat de winnaar naast het bureau de persoon kennen	kent	kennen	5	11	singular	singular	singular	De persoon gelooft dat de winnaar naast het bureau de persoon kent.
De persoon ziet dat de meid op de vrachtwagen de persoon verleidt	De persoon ziet dat de meid op de vrachtwagen de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De persoon ziet dat de meid op de vrachtwagen de persoon verleidt.
De persoon wenst dat de inwoner achter de stoel de persoon onderzoekt	De persoon wenst dat de inwoner achter de stoel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De persoon wenst dat de inwoner achter de stoel de persoon onderzoekt.
De werkgever wil dat de man naast het raam de persoon kent	De werkgever wil dat de man naast het raam de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever wil dat de man naast het raam de persoon kent.
De automobilist gelooft dat de man naast de fiets de persoon onderzoekt	De automobilist gelooft dat de man naast de fiets de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist gelooft dat de man naast de fiets de persoon onderzoekt.
De automobilist denkt dat de schrijver bij het raam de persoon steunt	De automobilist denkt dat de schrijver bij het raam de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist denkt dat de schrijver bij het raam de persoon steunt.
De persoon gelooft dat de schrijver naast de tafel de persoon onderzoekt	De persoon gelooft dat de schrijver naast de tafel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De persoon gelooft dat de schrijver naast de tafel de persoon onderzoekt.
De automobilist wil dat de meid achter de tafel de persoon verleidt	De automobilist wil dat de meid achter de tafel de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De automobilist wil dat de meid achter de tafel de persoon verleidt.
De automobilist ziet dat de inwoner op het bureau de persoon onderzoekt	De automobilist ziet dat de inwoner op het bureau de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist ziet dat de inwoner op het bureau de persoon onderzoekt.
De werkgever wenst dat de boer naast het bureau de persoon roept	De werkgever wenst dat de boer naast het bureau de persoon roepen	roept	roepen	5	11	singular	singular	singular	De werkgever wenst dat de boer naast het bureau de persoon roept.
De werkgever wenst dat de winnaar naast het bureau de persoon kent	De werkgever wenst dat de winnaar naast het bureau de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever wenst dat de winnaar naast het bureau de persoon kent.
De directeur denkt dat de boer op de tafel de persoon hoort	De directeur denkt dat de boer op de tafel de persoon horen	hoort	horen	5	11	singular	singular	singular	De directeur denkt dat de boer op de tafel de persoon hoort.
De persoon gelooft dat de winnaar op de fiets de persoon stimuleert	De persoon gelooft dat de winnaar op de fiets de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon gelooft dat de winnaar op de fiets de persoon stimuleert.
De werkgever wil dat de inwoner achter de tafel de persoon kent	De werkgever wil dat de inwoner achter de tafel de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever wil dat de inwoner achter de tafel de persoon kent.
De automobilist ziet dat de winnaar op de fiets de persoon steunt	De automobilist ziet dat de winnaar op de fiets de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist ziet dat de winnaar op de fiets de persoon steunt.
De persoon denkt dat de inwoner op de boom de persoon steunt	De persoon denkt dat de inwoner op de boom de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De persoon denkt dat de inwoner op de boom de persoon steunt.
De werkgever gelooft dat de meid naast de boom de persoon steunt	De werkgever gelooft dat de meid naast de boom de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De werkgever gelooft dat de meid naast de boom de persoon steunt.
De persoon wil dat de inwoner bij de fiets de persoon onderzoekt	De persoon wil dat de inwoner bij de fiets de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De persoon wil dat de inwoner bij de fiets de persoon onderzoekt.
De werkgever ziet dat de winnaar op de fiets de persoon hoort	De werkgever ziet dat de winnaar op de fiets de persoon horen	hoort	horen	5	11	singular	singular	singular	De werkgever ziet dat de winnaar op de fiets de persoon hoort.
De persoon ziet dat de boer bij de stoel de persoon roept	De persoon ziet dat de boer bij de stoel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De persoon ziet dat de boer bij de stoel de persoon roept.
De directeur ziet dat de boer bij de stoel de persoon stimuleert	De directeur ziet dat de boer bij de stoel de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De directeur ziet dat de boer bij de stoel de persoon stimuleert.
De directeur gelooft dat de inwoner achter het raam de persoon bekritiseert	De directeur gelooft dat de inwoner achter het raam de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur gelooft dat de inwoner achter het raam de persoon bekritiseert.
De directeur gelooft dat de boer naast de tafel de persoon bekritiseert	De directeur gelooft dat de boer naast de tafel de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur gelooft dat de boer naast de tafel de persoon bekritiseert.
De automobilist denkt dat de schrijver naast de fiets de persoon hoort	De automobilist denkt dat de schrijver naast de fiets de persoon horen	hoort	horen	5	11	singular	singular	singular	De automobilist denkt dat de schrijver naast de fiets de persoon hoort.
De directeur wenst dat de advocaat op de vrachtwagen de persoon kent	De directeur wenst dat de advocaat op de vrachtwagen de persoon kennen	kent	kennen	5	11	singular	singular	singular	De directeur wenst dat de advocaat op de vrachtwagen de persoon kent.
De werkgever wil dat de winnaar naast het raam de persoon hoort	De werkgever wil dat de winnaar naast het raam de persoon horen	hoort	horen	5	11	singular	singular	singular	De werkgever wil dat de winnaar naast het raam de persoon hoort.
De directeur denkt dat de advocaat op de vrachtwagen de persoon bekritiseert	De directeur denkt dat de advocaat op de vrachtwagen de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur denkt dat de advocaat op de vrachtwagen de persoon bekritiseert.
De werkgever wil dat de schrijver bij de boom de persoon onderzoekt	De werkgever wil dat de schrijver bij de boom de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever wil dat de schrijver bij de boom de persoon onderzoekt.
De werkgever gelooft dat de jongen op de boom de persoon stimuleert	De werkgever gelooft dat de jongen op de boom de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De werkgever gelooft dat de jongen op de boom de persoon stimuleert.
De werkgever gelooft dat de advocaat naast de stoel de persoon roept	De werkgever gelooft dat de advocaat naast de stoel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De werkgever gelooft dat de advocaat naast de stoel de persoon roept.
De persoon ziet dat de boer bij de boom de persoon hoort	De persoon ziet dat de boer bij de boom de persoon horen	hoort	horen	5	11	singular	singular	singular	De persoon ziet dat de boer bij de boom de persoon hoort.
De automobilist denkt dat de schrijver achter de vrachtwagen de persoon kent	De automobilist denkt dat de schrijver achter de vrachtwagen de persoon kennen	kent	kennen	5	11	singular	singular	singular	De automobilist denkt dat de schrijver achter de vrachtwagen de persoon kent.
De werkgever wil dat de man achter de vrachtwagen de persoon onderzoekt	De werkgever wil dat de man achter de vrachtwagen de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever wil dat de man achter de vrachtwagen de persoon onderzoekt.
De automobilist ziet dat de jongen op de fiets de persoon roept	De automobilist ziet dat de jongen op de fiets de persoon roepen	roept	roepen	5	11	singular	singular	singular	De automobilist ziet dat de jongen op de fiets de persoon roept.
De persoon gelooft dat de man bij het bureau de persoon kent	De persoon gelooft dat de man bij het bureau de persoon kennen	kent	kennen	5	11	singular	singular	singular	De persoon gelooft dat de man bij het bureau de persoon kent.
De automobilist gelooft dat de jongen achter de boom de persoon onderzoekt	De automobilist gelooft dat de jongen achter de boom de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist gelooft dat de jongen achter de boom de persoon onderzoekt.
De persoon ziet dat de man naast de vrachtwagen de persoon stimuleert	De persoon ziet dat de man naast de vrachtwagen de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon ziet dat de man naast de vrachtwagen de persoon stimuleert.
De directeur ziet dat de advocaat bij de boom de persoon roept	De directeur ziet dat de advocaat bij de boom de persoon roepen	roept	roepen	5	11	singular	singular	singular	De directeur ziet dat de advocaat bij de boom de persoon roept.
De persoon wil dat de schrijver naast de boom de persoon kent	De persoon wil dat de schrijver naast de boom de persoon kennen	kent	kennen	5	11	singular	singular	singular	De persoon wil dat de schrijver naast de boom de persoon kent.
De automobilist gelooft dat de winnaar bij de boom de persoon roept	De automobilist gelooft dat de winnaar bij de boom de persoon roepen	roept	roepen	5	11	singular	singular	singular	De automobilist gelooft dat de winnaar bij de boom de persoon roept.
De werkgever denkt dat de inwoner achter de boom de persoon kent	De werkgever denkt dat de inwoner achter de boom de persoon kennen	kent	kennen	5	11	singular	singular	singular	De werkgever denkt dat de inwoner achter de boom de persoon kent.
De persoon ziet dat de inwoner bij de vrachtwagen de persoon stimuleert	De persoon ziet dat de inwoner bij de vrachtwagen de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De persoon ziet dat de inwoner bij de vrachtwagen de persoon stimuleert.
De werkgever wenst dat de advocaat op de tafel de persoon onderzoekt	De werkgever wenst dat de advocaat op de tafel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever wenst dat de advocaat op de tafel de persoon onderzoekt.
De automobilist wenst dat de meid achter de fiets de persoon verleidt	De automobilist wenst dat de meid achter de fiets de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De automobilist wenst dat de meid achter de fiets de persoon verleidt.
De directeur denkt dat de winnaar bij de boom de persoon verleidt	De directeur denkt dat de winnaar bij de boom de persoon verleiden	verleidt	verleiden	5	11	singular	singular	singular	De directeur denkt dat de winnaar bij de boom de persoon verleidt.
De automobilist ziet dat de inwoner achter de stoel de persoon onderzoekt	De automobilist ziet dat de inwoner achter de stoel de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De automobilist ziet dat de inwoner achter de stoel de persoon onderzoekt.
De werkgever wil dat de jongen bij de boom de persoon onderzoekt	De werkgever wil dat de jongen bij de boom de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De werkgever wil dat de jongen bij de boom de persoon onderzoekt.
De automobilist ziet dat de boer naast de stoel de persoon roept	De automobilist ziet dat de boer naast de stoel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De automobilist ziet dat de boer naast de stoel de persoon roept.
De directeur wil dat de schrijver op de boom de persoon bekritiseert	De directeur wil dat de schrijver op de boom de persoon bekritiseren	bekritiseert	bekritiseren	5	11	singular	singular	singular	De directeur wil dat de schrijver op de boom de persoon bekritiseert.
De directeur wenst dat de jongen op de vrachtwagen de persoon onderzoekt	De directeur wenst dat de jongen op de vrachtwagen de persoon onderzoeken	onderzoekt	onderzoeken	5	11	singular	singular	singular	De directeur wenst dat de jongen op de vrachtwagen de persoon onderzoekt.
De directeur wenst dat de man naast het raam de persoon stimuleert	De directeur wenst dat de man naast het raam de persoon stimuleren	stimuleert	stimuleren	5	11	singular	singular	singular	De directeur wenst dat de man naast het raam de persoon stimuleert.
De werkgever denkt dat de boer op de fiets de persoon hoort	De werkgever denkt dat de boer op de fiets de persoon horen	hoort	horen	5	11	singular	singular	singular	De werkgever denkt dat de boer op de fiets de persoon hoort.
De directeur denkt dat de jongen naast de boom de persoon kent	De directeur denkt dat de jongen naast de boom de persoon kennen	kent	kennen	5	11	singular	singular	singular	De directeur denkt dat de jongen naast de boom de persoon kent.
De automobilist gelooft dat de winnaar bij de tafel de persoon roept	De automobilist gelooft dat de winnaar bij de tafel de persoon roepen	roept	roepen	5	11	singular	singular	singular	De automobilist gelooft dat de winnaar bij de tafel de persoon roept.
De automobilist gelooft dat de inwoner naast het bureau de persoon steunt	De automobilist gelooft dat de inwoner naast het bureau de persoon steunen	steunt	steunen	5	11	singular	singular	singular	De automobilist gelooft dat de inwoner naast het bureau de persoon steunt.
