agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De leraar die zit onderzoekt	De leraar die zit onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die zit onderzoekt de persoon.
De leraar die zit stimuleert	De leraar die zit stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die zit stimuleert de persoon.
De leraar die zit bekritiseert	De leraar die zit bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die zit bekritiseert de persoon.
De leraar die zit verleidt	De leraar die zit verleiden	verleidt	verleiden	1	4	singular	De leraar die zit verleidt de persoon.
De leraar die zit herkent	De leraar die zit herkennen	herkent	herkennen	1	4	singular	De leraar die zit herkent de persoon.
De leraar die zit begrijpt	De leraar die zit begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die zit begrijpt de persoon.
De leraar die loopt mist	De leraar die loopt missen	mist	missen	1	4	singular	De leraar die loopt mist de persoon.
De leraar die loopt hoort	De leraar die loopt horen	hoort	horen	1	4	singular	De leraar die loopt hoort de persoon.
De leraar die loopt steunt	De leraar die loopt steunen	steunt	steunen	1	4	singular	De leraar die loopt steunt de persoon.
De leraar die loopt ziet	De leraar die loopt zien	ziet	zien	1	4	singular	De leraar die loopt ziet de persoon.
De leraar die loopt vertrouwt	De leraar die loopt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die loopt vertrouwt de persoon.
De leraar die loopt kent	De leraar die loopt kennen	kent	kennen	1	4	singular	De leraar die loopt kent de persoon.
De leraar die loopt vermijdt	De leraar die loopt vermijden	vermijdt	vermijden	1	4	singular	De leraar die loopt vermijdt de persoon.
De leraar die loopt roept	De leraar die loopt roepen	roept	roepen	1	4	singular	De leraar die loopt roept de persoon.
De leraar die loopt groet	De leraar die loopt groeten	groet	groeten	1	4	singular	De leraar die loopt groet de persoon.
De leraar die loopt onderzoekt	De leraar die loopt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die loopt onderzoekt de persoon.
De leraar die loopt stimuleert	De leraar die loopt stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die loopt stimuleert de persoon.
De leraar die loopt bekritiseert	De leraar die loopt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die loopt bekritiseert de persoon.
De leraar die loopt verleidt	De leraar die loopt verleiden	verleidt	verleiden	1	4	singular	De leraar die loopt verleidt de persoon.
De leraar die loopt herkent	De leraar die loopt herkennen	herkent	herkennen	1	4	singular	De leraar die loopt herkent de persoon.
De leraar die loopt begrijpt	De leraar die loopt begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die loopt begrijpt de persoon.
De leraar die komt mist	De leraar die komt missen	mist	missen	1	4	singular	De leraar die komt mist de persoon.
De leraar die komt hoort	De leraar die komt horen	hoort	horen	1	4	singular	De leraar die komt hoort de persoon.
De leraar die komt steunt	De leraar die komt steunen	steunt	steunen	1	4	singular	De leraar die komt steunt de persoon.
De leraar die komt ziet	De leraar die komt zien	ziet	zien	1	4	singular	De leraar die komt ziet de persoon.
De leraar die komt vertrouwt	De leraar die komt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die komt vertrouwt de persoon.
De leraar die komt kent	De leraar die komt kennen	kent	kennen	1	4	singular	De leraar die komt kent de persoon.
De leraar die komt vermijdt	De leraar die komt vermijden	vermijdt	vermijden	1	4	singular	De leraar die komt vermijdt de persoon.
De leraar die komt roept	De leraar die komt roepen	roept	roepen	1	4	singular	De leraar die komt roept de persoon.
De leraar die komt groet	De leraar die komt groeten	groet	groeten	1	4	singular	De leraar die komt groet de persoon.
De leraar die komt onderzoekt	De leraar die komt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die komt onderzoekt de persoon.
De leraar die komt stimuleert	De leraar die komt stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die komt stimuleert de persoon.
De leraar die komt bekritiseert	De leraar die komt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die komt bekritiseert de persoon.
De leraar die komt verleidt	De leraar die komt verleiden	verleidt	verleiden	1	4	singular	De leraar die komt verleidt de persoon.
De leraar die komt herkent	De leraar die komt herkennen	herkent	herkennen	1	4	singular	De leraar die komt herkent de persoon.
De leraar die komt begrijpt	De leraar die komt begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die komt begrijpt de persoon.
De leraar die lacht mist	De leraar die lacht missen	mist	missen	1	4	singular	De leraar die lacht mist de persoon.
De leraar die lacht hoort	De leraar die lacht horen	hoort	horen	1	4	singular	De leraar die lacht hoort de persoon.
De leraar die lacht steunt	De leraar die lacht steunen	steunt	steunen	1	4	singular	De leraar die lacht steunt de persoon.
De leraar die lacht ziet	De leraar die lacht zien	ziet	zien	1	4	singular	De leraar die lacht ziet de persoon.
De leraar die lacht vertrouwt	De leraar die lacht vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die lacht vertrouwt de persoon.
De leraar die lacht kent	De leraar die lacht kennen	kent	kennen	1	4	singular	De leraar die lacht kent de persoon.
De leraar die lacht vermijdt	De leraar die lacht vermijden	vermijdt	vermijden	1	4	singular	De leraar die lacht vermijdt de persoon.
De leraar die lacht roept	De leraar die lacht roepen	roept	roepen	1	4	singular	De leraar die lacht roept de persoon.
De leraar die lacht groet	De leraar die lacht groeten	groet	groeten	1	4	singular	De leraar die lacht groet de persoon.
De leraar die lacht onderzoekt	De leraar die lacht onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die lacht onderzoekt de persoon.
De leraar die lacht stimuleert	De leraar die lacht stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die lacht stimuleert de persoon.
De leraar die lacht bekritiseert	De leraar die lacht bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die lacht bekritiseert de persoon.
De leraar die lacht verleidt	De leraar die lacht verleiden	verleidt	verleiden	1	4	singular	De leraar die lacht verleidt de persoon.
De leraar die lacht herkent	De leraar die lacht herkennen	herkent	herkennen	1	4	singular	De leraar die lacht herkent de persoon.
De leraar die lacht begrijpt	De leraar die lacht begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die lacht begrijpt de persoon.
De leraar die groeit mist	De leraar die groeit missen	mist	missen	1	4	singular	De leraar die groeit mist de persoon.
De leraar die groeit hoort	De leraar die groeit horen	hoort	horen	1	4	singular	De leraar die groeit hoort de persoon.
De leraar die groeit steunt	De leraar die groeit steunen	steunt	steunen	1	4	singular	De leraar die groeit steunt de persoon.
De leraar die groeit ziet	De leraar die groeit zien	ziet	zien	1	4	singular	De leraar die groeit ziet de persoon.
De leraar die groeit vertrouwt	De leraar die groeit vertrouwen	vertrouwt	vertrouwen	1	4	singular	De leraar die groeit vertrouwt de persoon.
De leraar die groeit kent	De leraar die groeit kennen	kent	kennen	1	4	singular	De leraar die groeit kent de persoon.
De leraar die groeit vermijdt	De leraar die groeit vermijden	vermijdt	vermijden	1	4	singular	De leraar die groeit vermijdt de persoon.
De leraar die groeit roept	De leraar die groeit roepen	roept	roepen	1	4	singular	De leraar die groeit roept de persoon.
De leraar die groeit groet	De leraar die groeit groeten	groet	groeten	1	4	singular	De leraar die groeit groet de persoon.
De leraar die groeit onderzoekt	De leraar die groeit onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar die groeit onderzoekt de persoon.
De leraar die groeit stimuleert	De leraar die groeit stimuleren	stimuleert	stimuleren	1	4	singular	De leraar die groeit stimuleert de persoon.
De leraar die groeit bekritiseert	De leraar die groeit bekritiseren	bekritiseert	bekritiseren	1	4	singular	De leraar die groeit bekritiseert de persoon.
De leraar die groeit verleidt	De leraar die groeit verleiden	verleidt	verleiden	1	4	singular	De leraar die groeit verleidt de persoon.
De leraar die groeit herkent	De leraar die groeit herkennen	herkent	herkennen	1	4	singular	De leraar die groeit herkent de persoon.
De leraar die groeit begrijpt	De leraar die groeit begrijpen	begrijpt	begrijpen	1	4	singular	De leraar die groeit begrijpt de persoon.
De man die werkt mist	De man die werkt missen	mist	missen	1	4	singular	De man die werkt mist de persoon.
De man die werkt hoort	De man die werkt horen	hoort	horen	1	4	singular	De man die werkt hoort de persoon.
De man die werkt steunt	De man die werkt steunen	steunt	steunen	1	4	singular	De man die werkt steunt de persoon.
De man die werkt ziet	De man die werkt zien	ziet	zien	1	4	singular	De man die werkt ziet de persoon.
De man die werkt vertrouwt	De man die werkt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die werkt vertrouwt de persoon.
De man die werkt kent	De man die werkt kennen	kent	kennen	1	4	singular	De man die werkt kent de persoon.
De man die werkt vermijdt	De man die werkt vermijden	vermijdt	vermijden	1	4	singular	De man die werkt vermijdt de persoon.
De man die werkt roept	De man die werkt roepen	roept	roepen	1	4	singular	De man die werkt roept de persoon.
De man die werkt groet	De man die werkt groeten	groet	groeten	1	4	singular	De man die werkt groet de persoon.
De man die werkt onderzoekt	De man die werkt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die werkt onderzoekt de persoon.
De man die werkt stimuleert	De man die werkt stimuleren	stimuleert	stimuleren	1	4	singular	De man die werkt stimuleert de persoon.
De man die werkt bekritiseert	De man die werkt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die werkt bekritiseert de persoon.
De man die werkt verleidt	De man die werkt verleiden	verleidt	verleiden	1	4	singular	De man die werkt verleidt de persoon.
De man die werkt herkent	De man die werkt herkennen	herkent	herkennen	1	4	singular	De man die werkt herkent de persoon.
De man die werkt begrijpt	De man die werkt begrijpen	begrijpt	begrijpen	1	4	singular	De man die werkt begrijpt de persoon.
De man die praat mist	De man die praat missen	mist	missen	1	4	singular	De man die praat mist de persoon.
De man die praat hoort	De man die praat horen	hoort	horen	1	4	singular	De man die praat hoort de persoon.
De man die praat steunt	De man die praat steunen	steunt	steunen	1	4	singular	De man die praat steunt de persoon.
De man die praat ziet	De man die praat zien	ziet	zien	1	4	singular	De man die praat ziet de persoon.
De man die praat vertrouwt	De man die praat vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die praat vertrouwt de persoon.
De man die praat kent	De man die praat kennen	kent	kennen	1	4	singular	De man die praat kent de persoon.
De man die praat vermijdt	De man die praat vermijden	vermijdt	vermijden	1	4	singular	De man die praat vermijdt de persoon.
De man die praat roept	De man die praat roepen	roept	roepen	1	4	singular	De man die praat roept de persoon.
De man die praat groet	De man die praat groeten	groet	groeten	1	4	singular	De man die praat groet de persoon.
De man die praat onderzoekt	De man die praat onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die praat onderzoekt de persoon.
De man die praat stimuleert	De man die praat stimuleren	stimuleert	stimuleren	1	4	singular	De man die praat stimuleert de persoon.
De man die praat bekritiseert	De man die praat bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die praat bekritiseert de persoon.
De man die praat verleidt	De man die praat verleiden	verleidt	verleiden	1	4	singular	De man die praat verleidt de persoon.
De man die praat herkent	De man die praat herkennen	herkent	herkennen	1	4	singular	De man die praat herkent de persoon.
De man die praat begrijpt	De man die praat begrijpen	begrijpt	begrijpen	1	4	singular	De man die praat begrijpt de persoon.
De man die zit mist	De man die zit missen	mist	missen	1	4	singular	De man die zit mist de persoon.
De man die zit hoort	De man die zit horen	hoort	horen	1	4	singular	De man die zit hoort de persoon.
De man die zit steunt	De man die zit steunen	steunt	steunen	1	4	singular	De man die zit steunt de persoon.
De man die zit ziet	De man die zit zien	ziet	zien	1	4	singular	De man die zit ziet de persoon.
De man die zit vertrouwt	De man die zit vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die zit vertrouwt de persoon.
De man die zit kent	De man die zit kennen	kent	kennen	1	4	singular	De man die zit kent de persoon.
De man die zit vermijdt	De man die zit vermijden	vermijdt	vermijden	1	4	singular	De man die zit vermijdt de persoon.
De man die zit roept	De man die zit roepen	roept	roepen	1	4	singular	De man die zit roept de persoon.
De man die zit groet	De man die zit groeten	groet	groeten	1	4	singular	De man die zit groet de persoon.
De man die zit onderzoekt	De man die zit onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die zit onderzoekt de persoon.
De man die zit stimuleert	De man die zit stimuleren	stimuleert	stimuleren	1	4	singular	De man die zit stimuleert de persoon.
De man die zit bekritiseert	De man die zit bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die zit bekritiseert de persoon.
De man die zit verleidt	De man die zit verleiden	verleidt	verleiden	1	4	singular	De man die zit verleidt de persoon.
De man die zit herkent	De man die zit herkennen	herkent	herkennen	1	4	singular	De man die zit herkent de persoon.
De man die zit begrijpt	De man die zit begrijpen	begrijpt	begrijpen	1	4	singular	De man die zit begrijpt de persoon.
De man die loopt mist	De man die loopt missen	mist	missen	1	4	singular	De man die loopt mist de persoon.
De man die loopt hoort	De man die loopt horen	hoort	horen	1	4	singular	De man die loopt hoort de persoon.
De man die loopt steunt	De man die loopt steunen	steunt	steunen	1	4	singular	De man die loopt steunt de persoon.
De man die loopt ziet	De man die loopt zien	ziet	zien	1	4	singular	De man die loopt ziet de persoon.
De man die loopt vertrouwt	De man die loopt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die loopt vertrouwt de persoon.
De man die loopt kent	De man die loopt kennen	kent	kennen	1	4	singular	De man die loopt kent de persoon.
De man die loopt vermijdt	De man die loopt vermijden	vermijdt	vermijden	1	4	singular	De man die loopt vermijdt de persoon.
De man die loopt roept	De man die loopt roepen	roept	roepen	1	4	singular	De man die loopt roept de persoon.
De man die loopt groet	De man die loopt groeten	groet	groeten	1	4	singular	De man die loopt groet de persoon.
De man die loopt onderzoekt	De man die loopt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die loopt onderzoekt de persoon.
De man die loopt stimuleert	De man die loopt stimuleren	stimuleert	stimuleren	1	4	singular	De man die loopt stimuleert de persoon.
De man die loopt bekritiseert	De man die loopt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die loopt bekritiseert de persoon.
De man die loopt verleidt	De man die loopt verleiden	verleidt	verleiden	1	4	singular	De man die loopt verleidt de persoon.
De man die loopt herkent	De man die loopt herkennen	herkent	herkennen	1	4	singular	De man die loopt herkent de persoon.
De man die loopt begrijpt	De man die loopt begrijpen	begrijpt	begrijpen	1	4	singular	De man die loopt begrijpt de persoon.
De man die komt mist	De man die komt missen	mist	missen	1	4	singular	De man die komt mist de persoon.
De man die komt hoort	De man die komt horen	hoort	horen	1	4	singular	De man die komt hoort de persoon.
De man die komt steunt	De man die komt steunen	steunt	steunen	1	4	singular	De man die komt steunt de persoon.
De man die komt ziet	De man die komt zien	ziet	zien	1	4	singular	De man die komt ziet de persoon.
De man die komt vertrouwt	De man die komt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die komt vertrouwt de persoon.
De man die komt kent	De man die komt kennen	kent	kennen	1	4	singular	De man die komt kent de persoon.
De man die komt vermijdt	De man die komt vermijden	vermijdt	vermijden	1	4	singular	De man die komt vermijdt de persoon.
De man die komt roept	De man die komt roepen	roept	roepen	1	4	singular	De man die komt roept de persoon.
De man die komt groet	De man die komt groeten	groet	groeten	1	4	singular	De man die komt groet de persoon.
De man die komt onderzoekt	De man die komt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die komt onderzoekt de persoon.
De man die komt stimuleert	De man die komt stimuleren	stimuleert	stimuleren	1	4	singular	De man die komt stimuleert de persoon.
De man die komt bekritiseert	De man die komt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die komt bekritiseert de persoon.
De man die komt verleidt	De man die komt verleiden	verleidt	verleiden	1	4	singular	De man die komt verleidt de persoon.
De man die komt herkent	De man die komt herkennen	herkent	herkennen	1	4	singular	De man die komt herkent de persoon.
De man die komt begrijpt	De man die komt begrijpen	begrijpt	begrijpen	1	4	singular	De man die komt begrijpt de persoon.
De man die lacht mist	De man die lacht missen	mist	missen	1	4	singular	De man die lacht mist de persoon.
De man die lacht hoort	De man die lacht horen	hoort	horen	1	4	singular	De man die lacht hoort de persoon.
De man die lacht steunt	De man die lacht steunen	steunt	steunen	1	4	singular	De man die lacht steunt de persoon.
De man die lacht ziet	De man die lacht zien	ziet	zien	1	4	singular	De man die lacht ziet de persoon.
De man die lacht vertrouwt	De man die lacht vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die lacht vertrouwt de persoon.
De man die lacht kent	De man die lacht kennen	kent	kennen	1	4	singular	De man die lacht kent de persoon.
De man die lacht vermijdt	De man die lacht vermijden	vermijdt	vermijden	1	4	singular	De man die lacht vermijdt de persoon.
De man die lacht roept	De man die lacht roepen	roept	roepen	1	4	singular	De man die lacht roept de persoon.
De man die lacht groet	De man die lacht groeten	groet	groeten	1	4	singular	De man die lacht groet de persoon.
De man die lacht onderzoekt	De man die lacht onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die lacht onderzoekt de persoon.
De man die lacht stimuleert	De man die lacht stimuleren	stimuleert	stimuleren	1	4	singular	De man die lacht stimuleert de persoon.
De man die lacht bekritiseert	De man die lacht bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die lacht bekritiseert de persoon.
De man die lacht verleidt	De man die lacht verleiden	verleidt	verleiden	1	4	singular	De man die lacht verleidt de persoon.
De man die lacht herkent	De man die lacht herkennen	herkent	herkennen	1	4	singular	De man die lacht herkent de persoon.
De man die lacht begrijpt	De man die lacht begrijpen	begrijpt	begrijpen	1	4	singular	De man die lacht begrijpt de persoon.
De man die groeit mist	De man die groeit missen	mist	missen	1	4	singular	De man die groeit mist de persoon.
De man die groeit hoort	De man die groeit horen	hoort	horen	1	4	singular	De man die groeit hoort de persoon.
De man die groeit steunt	De man die groeit steunen	steunt	steunen	1	4	singular	De man die groeit steunt de persoon.
De man die groeit ziet	De man die groeit zien	ziet	zien	1	4	singular	De man die groeit ziet de persoon.
De man die groeit vertrouwt	De man die groeit vertrouwen	vertrouwt	vertrouwen	1	4	singular	De man die groeit vertrouwt de persoon.
De man die groeit kent	De man die groeit kennen	kent	kennen	1	4	singular	De man die groeit kent de persoon.
De man die groeit vermijdt	De man die groeit vermijden	vermijdt	vermijden	1	4	singular	De man die groeit vermijdt de persoon.
De man die groeit roept	De man die groeit roepen	roept	roepen	1	4	singular	De man die groeit roept de persoon.
De man die groeit groet	De man die groeit groeten	groet	groeten	1	4	singular	De man die groeit groet de persoon.
De man die groeit onderzoekt	De man die groeit onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man die groeit onderzoekt de persoon.
De man die groeit stimuleert	De man die groeit stimuleren	stimuleert	stimuleren	1	4	singular	De man die groeit stimuleert de persoon.
De man die groeit bekritiseert	De man die groeit bekritiseren	bekritiseert	bekritiseren	1	4	singular	De man die groeit bekritiseert de persoon.
De man die groeit verleidt	De man die groeit verleiden	verleidt	verleiden	1	4	singular	De man die groeit verleidt de persoon.
De man die groeit herkent	De man die groeit herkennen	herkent	herkennen	1	4	singular	De man die groeit herkent de persoon.
De man die groeit begrijpt	De man die groeit begrijpen	begrijpt	begrijpen	1	4	singular	De man die groeit begrijpt de persoon.
De vrouw die werkt mist	De vrouw die werkt missen	mist	missen	1	4	singular	De vrouw die werkt mist de persoon.
De vrouw die werkt hoort	De vrouw die werkt horen	hoort	horen	1	4	singular	De vrouw die werkt hoort de persoon.
De vrouw die werkt steunt	De vrouw die werkt steunen	steunt	steunen	1	4	singular	De vrouw die werkt steunt de persoon.
De vrouw die werkt ziet	De vrouw die werkt zien	ziet	zien	1	4	singular	De vrouw die werkt ziet de persoon.
De vrouw die werkt vertrouwt	De vrouw die werkt vertrouwen	vertrouwt	vertrouwen	1	4	singular	De vrouw die werkt vertrouwt de persoon.
De vrouw die werkt kent	De vrouw die werkt kennen	kent	kennen	1	4	singular	De vrouw die werkt kent de persoon.
De vrouw die werkt vermijdt	De vrouw die werkt vermijden	vermijdt	vermijden	1	4	singular	De vrouw die werkt vermijdt de persoon.
De vrouw die werkt roept	De vrouw die werkt roepen	roept	roepen	1	4	singular	De vrouw die werkt roept de persoon.
De vrouw die werkt groet	De vrouw die werkt groeten	groet	groeten	1	4	singular	De vrouw die werkt groet de persoon.
De vrouw die werkt onderzoekt	De vrouw die werkt onderzoeken	onderzoekt	onderzoeken	1	4	singular	De vrouw die werkt onderzoekt de persoon.
De vrouw die werkt stimuleert	De vrouw die werkt stimuleren	stimuleert	stimuleren	1	4	singular	De vrouw die werkt stimuleert de persoon.
De vrouw die werkt bekritiseert	De vrouw die werkt bekritiseren	bekritiseert	bekritiseren	1	4	singular	De vrouw die werkt bekritiseert de persoon.
De vrouw die werkt verleidt	De vrouw die werkt verleiden	verleidt	verleiden	1	4	singular	De vrouw die werkt verleidt de persoon.
De vrouw die werkt herkent	De vrouw die werkt herkennen	herkent	herkennen	1	4	singular	De vrouw die werkt herkent de persoon.
De vrouw die werkt begrijpt	De vrouw die werkt begrijpen	begrijpt	begrijpen	1	4	singular	De vrouw die werkt begrijpt de persoon.
De vrouw die praat mist	De vrouw die praat missen	mist	missen	1	4	singular	De vrouw die praat mist de persoon.
De vrouw die praat hoort	De vrouw die praat horen	hoort	horen	1	4	singular	De vrouw die praat hoort de persoon.
De vrouw die praat steunt	De vrouw die praat steunen	steunt	steunen	1	4	singular	De vrouw die praat steunt de persoon.
De vrouw die praat ziet	De vrouw die praat zien	ziet	zien	1	4	singular	De vrouw die praat ziet de persoon.
De vrouw die praat vertrouwt	De vrouw die praat vertrouwen	vertrouwt	vertrouwen	1	4	singular	De vrouw die praat vertrouwt de persoon.
De vrouw die praat kent	De vrouw die praat kennen	kent	kennen	1	4	singular	De vrouw die praat kent de persoon.
De vrouw die praat vermijdt	De vrouw die praat vermijden	vermijdt	vermijden	1	4	singular	De vrouw die praat vermijdt de persoon.
De vrouw die praat roept	De vrouw die praat roepen	roept	roepen	1	4	singular	De vrouw die praat roept de persoon.
De vrouw die praat groet	De vrouw die praat groeten	groet	groeten	1	4	singular	De vrouw die praat groet de persoon.
De vrouw die praat onderzoekt	De vrouw die praat onderzoeken	onderzoekt	onderzoeken	1	4	singular	De vrouw die praat onderzoekt de persoon.
De vrouw die praat stimuleert	De vrouw die praat stimuleren	stimuleert	stimuleren	1	4	singular	De vrouw die praat stimuleert de persoon.
De vrouw die praat bekritiseert	De vrouw die praat bekritiseren	bekritiseert	bekritiseren	1	4	singular	De vrouw die praat bekritiseert de persoon.
De vrouw die praat verleidt	De vrouw die praat verleiden	verleidt	verleiden	1	4	singular	De vrouw die praat verleidt de persoon.
De vrouw die praat herkent	De vrouw die praat herkennen	herkent	herkennen	1	4	singular	De vrouw die praat herkent de persoon.
De vrouw die praat begrijpt	De vrouw die praat begrijpen	begrijpt	begrijpen	1	4	singular	De vrouw die praat begrijpt de persoon.
De vrouw die zit mist	De vrouw die zit missen	mist	missen	1	4	singular	De vrouw die zit mist de persoon.
De vrouw die zit hoort	De vrouw die zit horen	hoort	horen	1	4	singular	De vrouw die zit hoort de persoon.
De vrouw die zit steunt	De vrouw die zit steunen	steunt	steunen	1	4	singular	De vrouw die zit steunt de persoon.
De vrouw die zit ziet	De vrouw die zit zien	ziet	zien	1	4	singular	De vrouw die zit ziet de persoon.
De vrouw die zit vertrouwt	De vrouw die zit vertrouwen	vertrouwt	vertrouwen	1	4	singular	De vrouw die zit vertrouwt de persoon.
De vrouw die zit kent	De vrouw die zit kennen	kent	kennen	1	4	singular	De vrouw die zit kent de persoon.
